cluster,count,mean,median,std,min,max
0,434,314.74547465437786,42.679,1238.0245527797993,0.179,9158.371
1,203,458.4709655172414,43.104,1492.9441417335709,1.155,7350.814
2,58,481.90075862068966,33.951499999999996,1656.9808820887324,0.895,7614.43
3,157,403.9074968152866,31.225,1438.5732108041427,1.136,8644.411
4,221,332.99771945701355,43.162,1218.0112831291476,0.698,6055.8
5,4,42.40175,40.1385,13.681374014208757,30.824,58.506
