k,inertia,silhouette
2,12493.104196989778,0.19748821930385735
3,11186.796368816118,0.19620499807361014
4,9930.203429457108,0.230789197410331
5,8919.218313138404,0.235435720381804
6,8023.447956728905,0.21327095718705116
7,7404.153102007859,0.19278275251236054
8,6615.666348485542,0.21200473203676337
9,6139.875675581842,0.22915414820963648
10,5745.870403158096,0.23448236429404426
