feature,mean_abs_shap
AirTemp_C,0.1044588
Points,0.06046213
WindDirection_deg,0.060028303
Humidity_%,0.055280123
GridPosition,0.049965877
Status__Finished,0.04794282
HARD,0.039914493
DeltaFromAhead_s,0.035458986
TrackTemp_C,0.032202255
WindSpeed_mps,0.021999272
MEDIUM,0.01921018
Pressure_hPa,0.010087853
races_prior_this_season,0.008963587
SOFT,0.006918112
WET,0.0
INTERMEDIATE,0.0
Season,0.0
Status__Lapped,0.0
Status__OTHER,0.0
Status__Retired,0.0
