model,rmse,mae,r2,rows
histgb,26.293740563347395,21.0629977230897,0.024629047937381632,424
with_pipeline,2.2226634693031597,1.0385181184575472,0.9930303255333434,424
xgb_conservative_quick,22.808089727866903,18.233281464393517,0.22523577201494627,216
xgb_external,25.221437516749983,20.454923943785374,0.10256140575938899,424
xgb_tuned_conservative,24.292092291519566,19.73798279373585,0.16747954016166544,424
xgb_tuned_external,24.65462732376494,20.00272416835849,0.14244505636234828,424
xgb_untitled_external,25.221437516749983,20.454923943785374,0.10256140575938899,424
